company,company_id,company_size,country,country_iso3,bundle_id,industry,year,indicator,value,unit_of_measure,sub_code,id
GEA Group Aktiengesellschaft,4243,Large,Germany,DEU,28532,Processed Foods,2017,Gross direct (Scope 1) GHG emissions,41833,Metric tons of CO2-equivalent,305-1-a,9017421
Kerry Group PLC,4314,Large,Ireland,IRL,19783,Processed Foods,2017,Breakdown of water discharge by sources,18319000,m3,303-4-b,22340022
GEA Group Aktiengesellschaft,4243,Large,Germany,DEU,28532,Processed Foods,2017,Gross market-based energy indirect (Scope 2) GHG emissions,36925,Metric tons of CO2-equivalent,305-2-b,9017253
Kerry Group PLC,4314,Large,Ireland,IRL,19783,Processed Foods,2017,Water consumption from all areas,3458000,m3,303-5-a,22339986
GEA Group Aktiengesellschaft,4243,Large,Germany,DEU,28531,Processed Foods,2017,Gross other indirect (Scope 3) GHG emissions,15958,Metric tons of CO2-equivalent,305-3-a,9902633
GEA Group Aktiengesellschaft,4243,Large,Germany,DEU,28531,Processed Foods,2017,Gross location-based energy indirect (Scope 2) GHG emissions,36925,Metric tons of CO2-equivalent,305-2-a,9902840
Kerry Group PLC,4314,Large,Ireland,IRL,19783,Processed Foods,2017,Total weight of hazardous waste directed to disposal,52685,Metric tons,306-5-b,22340686
Orkla ASA,4970,Large,Norway,NOR,20637,Processed Foods,2017,Water withdrawal breakdown by sources,16500000,m3,303-3-c,21617504
Kerry Group PLC,4314,Large,Ireland,IRL,19783,Processed Foods,2017,Total fuel consumption from renewable sources,893304,GJ,302-1-b,22339982
DelMonte,4106,Large,United States,USA,28491,Processed Foods,2017,Water withdrawal breakdown by sources,5201155813.2,m3,303-3-c,8774329
DelMonte,4106,Large,United States,USA,28491,Processed Foods,2017,Water consumption from all areas with water stress,5201155813.2,m3,303-5-b,8774335
Uni-President Enterprises Corp,15256,Large,Taiwan,TWN,25469,Processed Foods,2017,Water withdrawal from all areas,4259000000,m3,303-3-a,22187654
DelMonte,4106,Large,United States,USA,28491,Processed Foods,2017,Change in water storage,5201155813.2,m3,303-5-c,8774382
Uni-President Enterprises Corp,15256,Large,Taiwan,TWN,25469,Processed Foods,2017,Gross market-based energy indirect (Scope 2) GHG emissions,95894,Metric tons of CO2-equivalent,305-2-b,22187658
DelMonte,4106,Large,United States,USA,28491,Processed Foods,2017,Water consumption from all areas,5201155813.2,m3,303-5-a,8774340
"J-Oil Mills, Inc.",13365,Large,Japan,JPN,34153,Processed Foods,2017,Employees entitled to parental leave,6,number_of_employees,401-3-a,12052851
Campbell's,3958,Large,United States,USA,28449,Processed Foods,2017,Total weight of waste directed to disposal,34684,Metric tons,306-5-a,9439636
"J-Oil Mills, Inc.",13365,Large,Japan,JPN,34153,Processed Foods,2017,Total energy consumption within the organization,3858000,GJ,302-1-e,12053391
"J-Oil Mills, Inc.",13365,Large,Japan,JPN,34153,Processed Foods,2017,"Total electricity, heating, cooling and steam consumption",3858000,GJ,302-1-c,12053790
Uni-President Enterprises Corp,15256,Large,Taiwan,TWN,25469,Processed Foods,2017,Scope 1 biogenic CO2 emissions,6.12,Metric tons of CO2-equivalent,305-1-c,22187673
Grupo Bimbo SAB de CV,5894,Large,Mexico,MEX,21342,Processed Foods,2017,"Total electricity, heating, cooling and steam consumption",23351759,GJ,302-1-c,1471246
Campbell's,3958,Large,United States,USA,28449,Processed Foods,2017,Total fuel consumption from non-renewable sources,8490050.94,GJ,302-1-a,9439309
Campbell's,3958,Large,United States,USA,28449,Processed Foods,2017,"Total electricity, heating, cooling and steam consumption",10594329.07,GJ,302-1-c,9439586
Kerry Group PLC,4314,Large,Ireland,IRL,19783,Processed Foods,2017,Total weight of waste directed to disposal,52685,Metric tons,306-5-a,22341355
Campbell Soup Company,2698,Large,United States,USA,18446,Processed Foods,2017,Total weight of waste diverted from disposal,150252,Metric tons,306-4-a,3138136
Uni-President Enterprises Corp,15256,Large,Taiwan,TWN,25469,Processed Foods,2017,Gross direct (Scope 1) GHG emissions,56544,Metric tons of CO2-equivalent,305-1-a,22187310
Uni-President Enterprises Corp,15256,Large,Taiwan,TWN,25469,Processed Foods,2017,Breakdown of water discharge by sources,3114310000,m3,303-4-b,22187488
Uni-President Enterprises Corp,15256,Large,Taiwan,TWN,25469,Processed Foods,2017,Water discharge to all areas,3114310000,m3,303-4-a,22187485
Nissui Corp,6127,Large,Japan,JPN,28900,Processed Foods,2017,Total weight of waste diverted from disposal,47922,Metric tons,306-4-a,9904429
